ii, x  , y,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
0,23,270,,,,,,,,,,,,
1,40,282,,,,,,,,,,,,
2,50,252,,,,,,,,,,,,
3,53,282,,,,,,,,,,,,
4,65,251,,,,,,,,,,,,
5,79,279,,,,,,,,,,,,
6,90,249,,,,,,,,,,,,
7,116,285,,,,,,,,,,,,
8,116,300,,,,,,,,,,,,
9,183,406,,,,,,,,,,,,
10,183,424,,,,,,,,,,,,
11,183,438,,,,,,,,,,,,
12,184,345,,,,,,,,,,,,
13,184,362,,,,,,,,,,,,
14,184,375,,,,,,,,,,,,
15,196,439,,,,,,,,,,,,
16,197,377,,,,,,,,,,,,
17,197,392,,,,,,,,,,,,
18,197,407,,,,,,,,,,,,
19,198,331,,,,,,,,,,,,
20,198,347,,,,,,,,,,,,
21,198,361,,,,,,,,,,,,
22,198,421,,,,,,,,,,,,
23,212,391,,,,,,,,,,,,
24,212,406,,,,,,,,,,,,
25,212,422,,,,,,,,,,,,
26,212,436,,,,,,,,,,,,
27,213,361,,,,,,,,,,,,
28,213,374,,,,,,,,,,,,
29,215,330,,,,,,,,,,,,
30,215,344,,,,,,,,,,,,
31,227,421,,,,,,,,,,,,
32,227,436,,,,,,,,,,,,
33,228,330,,,,,,,,,,,,
34,228,360,,,,,,,,,,,,
35,228,375,,,,,,,,,,,,
36,229,388,,,,,,,,,,,,
37,229,405,,,,,,,,,,,,
38,229,450,,,,,,,,,,,,
39,230,343,,,,,,,,,,,,
40,242,360,,,,,,,,,,,,
41,242,389,,,,,,,,,,,,
42,242,420,,,,,,,,,,,,
43,242,435,,,,,,,,,,,,
44,242,449,,,,,,,,,,,,
45,243,403,,,,,,,,,,,,
46,244,329,,,,,,,,,,,,
47,244,343,,,,,,,,,,,,
48,244,372,,,,,,,,,,,,
49,257,329,,,,,,,,,,,,
50,257,357,,,,,,,,,,,,
51,257,373,,,,,,,,,,,,
52,257,388,,,,,,,,,,,,
53,257,417,,,,,,,,,,,,
54,259,342,,,,,,,,,,,,
55,259,401,,,,,,,,,,,,
56,259,432,,,,,,,,,,,,
57,259,448,,,,,,,,,,,,
58,271,343,,,,,,,,,,,,
59,271,358,,,,,,,,,,,,
60,271,371,,,,,,,,,,,,
61,271,388,,,,,,,,,,,,
62,271,418,,,,,,,,,,,,
63,272,433,,,,,,,,,,,,
64,273,328,,,,,,,,,,,,
65,273,401,,,,,,,,,,,,
66,285,328,,,,,,,,,,,,
67,285,343,,,,,,,,,,,,
68,285,372,,,,,,,,,,,,
69,286,400,,,,,,,,,,,,
70,286,432,,,,,,,,,,,,
71,287,357,,,,,,,,,,,,
72,288,387,,,,,,,,,,,,
73,288,417,,,,,,,,,,,,
74,299,343,,,,,,,,,,,,
75,299,372,,,,,,,,,,,,
76,300,355,,,,,,,,,,,,
77,300,384,,,,,,,,,,,,
78,300,401,,,,,,,,,,,,
79,300,414,,,,,,,,,,,,
80,301,432,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
0,21,274,,,,,,,,,,,,
1,40,282,,,,,,,,,,,,
2,44,359,,,,,,,,,,,,
3,53,282,,,,,,,,,,,,
4,65,251,,,,,,,,,,,,
5,79,279,,,,,,,,,,,,
6,90,249,,,,,,,,,,,,
7,116,300,,,,,,,,,,,,
8,183,406,,,,,,,,,,,,
9,183,424,,,,,,,,,,,,
10,184,345,,,,,,,,,,,,
11,184,362,,,,,,,,,,,,
12,184,375,,,,,,,,,,,,
13,184,393,,,,,,,,,,,,
14,196,439,,,,,,,,,,,,
15,197,377,,,,,,,,,,,,
16,197,407,,,,,,,,,,,,
17,198,331,,,,,,,,,,,,
18,198,347,,,,,,,,,,,,
19,198,361,,,,,,,,,,,,
20,198,421,,,,,,,,,,,,
21,198,452,,,,,,,,,,,,
22,199,390,,,,,,,,,,,,
23,211,451,,,,,,,,,,,,
24,212,391,,,,,,,,,,,,
25,212,422,,,,,,,,,,,,
26,212,436,,,,,,,,,,,,
27,213,361,,,,,,,,,,,,
28,214,374,,,,,,,,,,,,
29,214,404,,,,,,,,,,,,
30,215,330,,,,,,,,,,,,
31,215,344,,,,,,,,,,,,
32,227,375,,,,,,,,,,,,
33,227,388,,,,,,,,,,,,
34,227,421,,,,,,,,,,,,
35,227,436,,,,,,,,,,,,
36,228,330,,,,,,,,,,,,
37,228,345,,,,,,,,,,,,
38,228,360,,,,,,,,,,,,
39,229,405,,,,,,,,,,,,
40,229,450,,,,,,,,,,,,
41,242,345,,,,,,,,,,,,
42,242,389,,,,,,,,,,,,
43,242,420,,,,,,,,,,,,
44,242,435,,,,,,,,,,,,
45,244,329,,,,,,,,,,,,
46,244,359,,,,,,,,,,,,
47,244,372,,,,,,,,,,,,
48,244,404,,,,,,,,,,,,
49,257,329,,,,,,,,,,,,
50,257,344,,,,,,,,,,,,
51,257,357,,,,,,,,,,,,
52,257,403,,,,,,,,,,,,
53,257,417,,,,,,,,,,,,
54,259,371,,,,,,,,,,,,
55,259,386,,,,,,,,,,,,
56,259,432,,,,,,,,,,,,
57,259,448,,,,,,,,,,,,
58,271,342,,,,,,,,,,,,
59,271,358,,,,,,,,,,,,
60,271,371,,,,,,,,,,,,
61,271,388,,,,,,,,,,,,
62,271,418,,,,,,,,,,,,
63,271,431,,,,,,,,,,,,
64,273,328,,,,,,,,,,,,
65,273,401,,,,,,,,,,,,
66,285,328,,,,,,,,,,,,
67,285,343,,,,,,,,,,,,
68,285,372,,,,,,,,,,,,
69,286,400,,,,,,,,,,,,
70,287,357,,,,,,,,,,,,
71,287,385,,,,,,,,,,,,
72,288,417,,,,,,,,,,,,
73,288,430,,,,,,,,,,,,
74,299,343,,,,,,,,,,,,
75,300,355,,,,,,,,,,,,
76,300,371,,,,,,,,,,,,
77,300,384,,,,,,,,,,,,
78,300,401,,,,,,,,,,,,
79,300,414,,,,,,,,,,,,
80,301,432,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
0,7,213,-313,,,,,,,,,,,
1,13,378,6,,,,,,,,,,,
2,21,276,8,,,,,,,,,,,
3,31,271,10,,,,,,,,,,,
4,38,359,7,,,,,,,,,,,
5,40,283,2,,,,,,,,,,,
6,49,253,9,,,,,,,,,,,
7,53,283,4,,,,,,,,,,,
8,58,237,5,,,,,,,,,,,
9,65,252,7,,,,,,,,,,,
10,78,257,13,,,,,,,,,,,
11,79,280,1,,,,,,,,,,,
12,89,251,10,,,,,,,,,,,
13,90,433,1,,,,,,,,,,,
14,105,263,15,,,,,,,,,,,
15,110,285,5,,,,,,,,,,,
16,124,284,14,,,,,,,,,,,
17,129,389,5,,,,,,,,,,,
18,136,211,7,,,,,,,,,,,
19,172,391,36,,,,,,,,,,,
20,188,383,16,,,,,,,,,,,
21,190,354,2,,,,,,,,,,,
22,192,320,2,,,,,,,,,,,
23,193,292,1,,,,,,,,,,,
24,194,233,1,,,,,,,,,,,
25,194,260,0,,,,,,,,,,,
26,218,382,24,,,,,,,,,,,
27,219,354,1,,,,,,,,,,,
28,222,233,3,,,,,,,,,,,
29,222,260,0,,,,,,,,,,,
30,223,323,1,,,,,,,,,,,
31,224,290,1,,,,,,,,,,,
32,227,390,3,,,,,,,,,,,
33,233,210,6,,,,,,,,,,,
34,235,199,2,,,,,,,,,,,
35,251,352,16,,,,,,,,,,,
36,252,382,1,,,,,,,,,,,
37,254,292,2,,,,,,,,,,,
38,254,320,0,,,,,,,,,,,
39,255,233,1,,,,,,,,,,,
40,255,260,0,,,,,,,,,,,
41,281,354,26,,,,,,,,,,,
42,281,382,0,,,,,,,,,,,
43,282,320,1,,,,,,,,,,,
44,283,233,1,,,,,,,,,,,
45,283,262,0,,,,,,,,,,,
46,284,290,1,,,,,,,,,,,
47,304,200,20,,,,,,,,,,,
48,307,211,3,,,,,,,,,,,
49,312,323,5,,,,,,,,,,,
50,314,292,2,,,,,,,,,,,
51,314,353,0,,,,,,,,,,,
52,314,382,0,,,,,,,,,,,
53,315,234,1,,,,,,,,,,,
54,315,260,0,,,,,,,,,,,
55,339,234,24,,,,,,,,,,,
56,339,260,0,,,,,,,,,,,
57,339,293,0,,,,,,,,,,,
58,339,320,0,,,,,,,,,,,
59,339,381,0,,,,,,,,,,,
60,340,354,1,,,,,,,,,,,
61,378,383,38,,,,,,,,,,,
62,383,278,5,,,,,,,,,,,
63,433,466,50,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
0,7,213,-313,,,,,,,,,,,
1,13,378,6,,,,,,,,,,,
2,21,276,8,,,,,,,,,,,
3,31,271,10,,,,,,,,,,,
4,37,359,6,,,,,,,,,,,
5,40,283,3,,,,,,,,,,,
6,50,253,10,,,,,,,,,,,
7,53,283,3,,,,,,,,,,,
8,53,342,0,,,,,,,,,,,
9,58,237,5,,,,,,,,,,,
10,65,252,7,,,,,,,,,,,
11,68,276,3,,,,,,,,,,,
12,78,257,10,,,,,,,,,,,
13,79,280,1,,,,,,,,,,,
14,89,251,10,,,,,,,,,,,
15,90,433,1,,,,,,,,,,,
16,105,263,15,,,,,,,,,,,
17,109,285,4,,,,,,,,,,,
18,112,474,3,,,,,,,,,,,
19,124,284,12,,,,,,,,,,,
20,129,389,5,,,,,,,,,,,
21,136,211,7,,,,,,,,,,,
22,172,391,36,,,,,,,,,,,
23,188,383,16,,,,,,,,,,,
24,190,354,2,,,,,,,,,,,
25,192,320,2,,,,,,,,,,,
26,193,292,1,,,,,,,,,,,
27,194,233,1,,,,,,,,,,,
28,194,260,0,,,,,,,,,,,
29,218,382,24,,,,,,,,,,,
30,219,354,1,,,,,,,,,,,
31,222,233,3,,,,,,,,,,,
32,222,260,0,,,,,,,,,,,
33,223,323,1,,,,,,,,,,,
34,224,290,1,,,,,,,,,,,
35,228,389,4,,,,,,,,,,,
36,233,210,5,,,,,,,,,,,
37,235,199,2,,,,,,,,,,,
38,251,352,16,,,,,,,,,,,
39,252,382,1,,,,,,,,,,,
40,253,262,1,,,,,,,,,,,
41,254,292,1,,,,,,,,,,,
42,254,320,0,,,,,,,,,,,
43,255,233,1,,,,,,,,,,,
44,281,382,26,,,,,,,,,,,
45,282,292,1,,,,,,,,,,,
46,282,353,0,,,,,,,,,,,
47,283,233,1,,,,,,,,,,,
48,284,261,1,,,,,,,,,,,
49,284,323,0,,,,,,,,,,,
50,304,200,20,,,,,,,,,,,
51,307,210,3,,,,,,,,,,,
52,312,323,5,,,,,,,,,,,
53,314,292,2,,,,,,,,,,,
54,314,354,0,,,,,,,,,,,
55,314,382,0,,,,,,,,,,,
56,315,234,1,,,,,,,,,,,
57,315,260,0,,,,,,,,,,,
58,339,234,24,,,,,,,,,,,
59,339,260,0,,,,,,,,,,,
60,339,293,0,,,,,,,,,,,
61,339,320,0,,,,,,,,,,,
62,339,381,0,,,,,,,,,,,
63,340,354,1,,,,,,,,,,,
64,378,383,38,,,,,,,,,,,
65,382,216,4,,,,,,,,,,,
66,383,278,1,,,,,,,,,,,
67,434,466,51,,,,,,,,,,,
68,551,17,117,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
0,7,213,-313,,,,,,,,,,,
1,18,382,11,,,,,,,,,,,
2,21,276,3,,,,,,,,,,,
3,31,271,10,,,,,,,,,,,
4,38,359,7,,,,,,,,,,,
5,40,283,2,,,,,,,,,,,
6,50,253,10,,,,,,,,,,,
7,53,283,3,,,,,,,,,,,
8,53,342,0,,,,,,,,,,,
9,58,237,5,,,,,,,,,,,
10,65,252,7,,,,,,,,,,,
11,67,276,2,,,,,,,,,,,
12,78,257,11,,,,,,,,,,,
13,79,280,1,,,,,,,,,,,
14,89,251,10,,,,,,,,,,,
15,90,433,1,,,,,,,,,,,
16,105,263,15,,,,,,,,,,,
17,113,474,8,,,,,,,,,,,
18,116,286,3,,,,,,,,,,,
19,118,321,2,,,,,,,,,,,
20,124,280,6,,,,,,,,,,,
21,129,389,5,,,,,,,,,,,
22,136,211,7,,,,,,,,,,,
23,172,391,36,,,,,,,,,,,
24,188,383,16,,,,,,,,,,,
25,190,354,2,,,,,,,,,,,
26,192,320,2,,,,,,,,,,,
27,193,292,1,,,,,,,,,,,
28,194,233,1,,,,,,,,,,,
29,194,260,0,,,,,,,,,,,
30,218,382,24,,,,,,,,,,,
31,219,354,1,,,,,,,,,,,
32,222,233,3,,,,,,,,,,,
33,222,260,0,,,,,,,,,,,
34,223,323,1,,,,,,,,,,,
35,224,290,1,,,,,,,,,,,
36,228,389,4,,,,,,,,,,,
37,233,210,5,,,,,,,,,,,
38,235,198,2,,,,,,,,,,,
39,251,323,16,,,,,,,,,,,
40,251,352,0,,,,,,,,,,,
41,252,382,1,,,,,,,,,,,
42,253,262,1,,,,,,,,,,,
43,254,292,1,,,,,,,,,,,
44,255,233,1,,,,,,,,,,,
45,281,354,26,,,,,,,,,,,
46,281,382,0,,,,,,,,,,,
47,282,292,1,,,,,,,,,,,
48,283,233,1,,,,,,,,,,,
49,283,262,0,,,,,,,,,,,
50,284,323,1,,,,,,,,,,,
51,304,200,20,,,,,,,,,,,
52,304,473,0,,,,,,,,,,,
53,307,211,3,,,,,,,,,,,
54,312,323,5,,,,,,,,,,,
55,314,292,2,,,,,,,,,,,
56,314,354,0,,,,,,,,,,,
57,314,382,0,,,,,,,,,,,
58,315,234,1,,,,,,,,,,,
59,315,260,0,,,,,,,,,,,
60,339,234,24,,,,,,,,,,,
61,339,260,0,,,,,,,,,,,
62,339,293,0,,,,,,,,,,,
63,339,320,0,,,,,,,,,,,
64,339,381,0,,,,,,,,,,,
65,340,354,1,,,,,,,,,,,
66,378,383,38,,,,,,,,,,,
67,383,278,5,,,,,,,,,,,
68,433,466,50,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
0,7,213,-313,,,,,,,,,,,
1,18,380,11,,,,,,,,,,,
2,21,276,3,,,,,,,,,,,
3,31,271,10,,,,,,,,,,,
4,37,359,6,,,,,,,,,,,
5,40,283,3,,,,,,,,,,,
6,50,253,10,,,,,,,,,,,
7,53,283,3,,,,,,,,,,,
8,53,342,0,,,,,,,,,,,
9,58,237,5,,,,,,,,,,,
10,65,252,7,,,,,,,,,,,
11,78,257,13,,,,,,,,,,,
12,79,280,1,,,,,,,,,,,
13,89,251,10,,,,,,,,,,,
14,90,433,1,,,,,,,,,,,
15,105,263,15,,,,,,,,,,,
16,110,285,5,,,,,,,,,,,
17,112,474,2,,,,,,,,,,,
18,124,284,12,,,,,,,,,,,
19,129,389,5,,,,,,,,,,,
20,136,211,7,,,,,,,,,,,
21,172,391,36,,,,,,,,,,,
22,188,383,16,,,,,,,,,,,
23,190,354,2,,,,,,,,,,,
24,192,320,2,,,,,,,,,,,
25,193,292,1,,,,,,,,,,,
26,194,233,1,,,,,,,,,,,
27,194,260,0,,,,,,,,,,,
28,218,382,24,,,,,,,,,,,
29,219,354,1,,,,,,,,,,,
30,222,233,3,,,,,,,,,,,
31,223,323,1,,,,,,,,,,,
32,224,260,1,,,,,,,,,,,
33,224,290,0,,,,,,,,,,,
34,227,390,3,,,,,,,,,,,
35,233,210,6,,,,,,,,,,,
36,235,199,2,,,,,,,,,,,
37,251,323,16,,,,,,,,,,,
38,251,352,0,,,,,,,,,,,
39,252,290,1,,,,,,,,,,,
40,252,382,0,,,,,,,,,,,
41,255,233,3,,,,,,,,,,,
42,255,260,0,,,,,,,,,,,
43,281,354,26,,,,,,,,,,,
44,281,382,0,,,,,,,,,,,
45,282,320,1,,,,,,,,,,,
46,283,233,1,,,,,,,,,,,
47,283,262,0,,,,,,,,,,,
48,284,290,1,,,,,,,,,,,
49,305,199,21,,,,,,,,,,,
50,307,210,2,,,,,,,,,,,
51,312,323,5,,,,,,,,,,,
52,312,354,0,,,,,,,,,,,
53,314,292,2,,,,,,,,,,,
54,314,382,0,,,,,,,,,,,
55,315,234,1,,,,,,,,,,,
56,315,260,0,,,,,,,,,,,
57,339,234,24,,,,,,,,,,,
58,339,260,0,,,,,,,,,,,
59,339,293,0,,,,,,,,,,,
60,339,320,0,,,,,,,,,,,
61,340,354,1,,,,,,,,,,,
62,340,382,0,,,,,,,,,,,
63,378,383,38,,,,,,,,,,,
64,381,215,3,,,,,,,,,,,
65,383,279,2,,,,,,,,,,,
66,434,466,51,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
q######################################,,,,,,,,,,,,,,
0,7,213,-313,,,,,,,,,,,
1,18,380,11,,,,,,,,,,,
2,23,271,5,,,,,,,,,,,
3,35,271,12,,,,,,,,,,,
4,37,359,2,,,,,,,,,,,
5,40,283,3,,,,,,,,,,,
6,50,253,10,,,,,,,,,,,
7,53,283,3,,,,,,,,,,,
8,53,342,0,,,,,,,,,,,
9,58,237,5,,,,,,,,,,,
10,65,253,7,,,,,,,,,,,
11,78,257,13,,,,,,,,,,,
12,79,280,1,,,,,,,,,,,
13,89,251,10,,,,,,,,,,,
14,90,433,1,,,,,,,,,,,
15,105,263,15,,,,,,,,,,,
16,109,285,4,,,,,,,,,,,
17,124,284,15,,,,,,,,,,,
18,129,389,5,,,,,,,,,,,
19,136,211,7,,,,,,,,,,,
20,171,391,35,,,,,,,,,,,
21,188,383,17,,,,,,,,,,,
22,190,354,2,,,,,,,,,,,
23,192,320,2,,,,,,,,,,,
24,193,292,1,,,,,,,,,,,
25,194,233,1,,,,,,,,,,,
26,194,260,0,,,,,,,,,,,
27,218,382,24,,,,,,,,,,,
28,219,354,1,,,,,,,,,,,
29,222,233,3,,,,,,,,,,,
30,223,323,1,,,,,,,,,,,
31,224,260,1,,,,,,,,,,,
32,224,290,0,,,,,,,,,,,
33,228,389,4,,,,,,,,,,,
34,233,210,5,,,,,,,,,,,
35,235,199,2,,,,,,,,,,,
36,251,352,16,,,,,,,,,,,
37,252,382,1,,,,,,,,,,,
38,254,292,2,,,,,,,,,,,
39,254,320,0,,,,,,,,,,,
40,255,233,1,,,,,,,,,,,
41,255,260,0,,,,,,,,,,,
42,281,354,26,,,,,,,,,,,
43,281,382,0,,,,,,,,,,,
44,282,292,1,,,,,,,,,,,
45,283,233,1,,,,,,,,,,,
46,283,262,0,,,,,,,,,,,
47,284,323,1,,,,,,,,,,,
48,304,200,20,,,,,,,,,,,
49,307,210,3,,,,,,,,,,,
50,312,323,5,,,,,,,,,,,
51,313,262,1,,,,,,,,,,,
52,313,353,0,,,,,,,,,,,
53,314,292,1,,,,,,,,,,,
54,314,382,0,,,,,,,,,,,
55,315,234,1,,,,,,,,,,,
56,339,234,24,,,,,,,,,,,
57,339,260,0,,,,,,,,,,,
58,339,293,0,,,,,,,,,,,
59,339,320,0,,,,,,,,,,,
60,339,381,0,,,,,,,,,,,
61,340,354,1,,,,,,,,,,,
62,378,383,38,,,,,,,,,,,
63,381,214,3,,,,,,,,,,,
64,383,278,2,,,,,,,,,,,
65,433,466,50,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
0,8,213,-312,,,,,,,,,,,
1,16,233,8,,,,,,,,,,,
2,18,382,2,,,,,,,,,,,
3,23,271,5,,,,,,,,,,,
4,34,271,11,,,,,,,,,,,
5,37,359,3,,,,,,,,,,,
6,40,283,3,,,,,,,,,,,
7,50,253,10,,,,,,,,,,,
8,53,283,3,,,,,,,,,,,
9,53,342,0,,,,,,,,,,,
10,58,237,5,,,,,,,,,,,
11,65,252,7,,,,,,,,,,,
12,68,276,3,,,,,,,,,,,
13,78,257,10,,,,,,,,,,,
14,79,280,1,,,,,,,,,,,
15,89,251,10,,,,,,,,,,,
16,90,433,1,,,,,,,,,,,
17,105,263,15,,,,,,,,,,,
18,109,285,4,,,,,,,,,,,
19,113,474,4,,,,,,,,,,,
20,124,284,11,,,,,,,,,,,
21,129,389,5,,,,,,,,,,,
22,136,211,7,,,,,,,,,,,
23,172,391,36,,,,,,,,,,,
24,188,383,16,,,,,,,,,,,
25,190,354,2,,,,,,,,,,,
26,192,320,2,,,,,,,,,,,
27,193,292,1,,,,,,,,,,,
28,194,233,1,,,,,,,,,,,
29,194,260,0,,,,,,,,,,,
30,218,382,24,,,,,,,,,,,
31,219,354,1,,,,,,,,,,,
32,222,233,3,,,,,,,,,,,
33,222,260,0,,,,,,,,,,,
34,223,323,1,,,,,,,,,,,
35,224,290,1,,,,,,,,,,,
36,228,389,4,,,,,,,,,,,
37,233,210,5,,,,,,,,,,,
38,235,199,2,,,,,,,,,,,
39,251,352,16,,,,,,,,,,,
40,252,382,1,,,,,,,,,,,
41,254,292,2,,,,,,,,,,,
42,254,320,0,,,,,,,,,,,
43,255,233,1,,,,,,,,,,,
44,255,260,0,,,,,,,,,,,
45,281,382,26,,,,,,,,,,,
46,282,292,1,,,,,,,,,,,
47,282,320,0,,,,,,,,,,,
48,282,353,0,,,,,,,,,,,
49,283,233,1,,,,,,,,,,,
50,283,262,0,,,,,,,,,,,
51,304,200,21,,,,,,,,,,,
52,304,473,0,,,,,,,,,,,
53,307,211,3,,,,,,,,,,,
54,312,323,5,,,,,,,,,,,
55,314,292,2,,,,,,,,,,,
56,314,353,0,,,,,,,,,,,
57,314,382,0,,,,,,,,,,,
58,315,234,1,,,,,,,,,,,
59,315,260,0,,,,,,,,,,,
60,339,234,24,,,,,,,,,,,
61,339,260,0,,,,,,,,,,,
62,339,293,0,,,,,,,,,,,
63,339,320,0,,,,,,,,,,,
64,339,381,0,,,,,,,,,,,
65,340,354,1,,,,,,,,,,,
66,378,383,38,,,,,,,,,,,
67,380,214,2,,,,,,,,,,,
68,383,278,3,,,,,,,,,,,
69,434,466,51,,,,,,,,,,,
70,551,16,117,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
0,7,213,-313,,,,,,,,,,,
1,13,378,6,,,,,,,,,,,
2,15,233,2,,,,,,,,,,,
3,22,272,7,,,,,,,,,,,
4,33,272,11,,,,,,,,,,,
5,37,359,4,,,,,,,,,,,
6,40,283,3,,,,,,,,,,,
7,50,253,10,,,,,,,,,,,
8,53,283,3,,,,,,,,,,,
9,53,342,0,,,,,,,,,,,
10,59,239,6,,,,,,,,,,,
11,65,253,6,,,,,,,,,,,
12,67,276,2,,,,,,,,,,,
13,79,280,12,,,,,,,,,,,
14,81,258,2,,,,,,,,,,,
15,89,251,8,,,,,,,,,,,
16,90,433,1,,,,,,,,,,,
17,105,263,15,,,,,,,,,,,
18,108,452,3,,,,,,,,,,,
19,112,474,4,,,,,,,,,,,
20,116,286,4,,,,,,,,,,,
21,118,321,2,,,,,,,,,,,
22,125,280,7,,,,,,,,,,,
23,129,389,4,,,,,,,,,,,
24,136,211,7,,,,,,,,,,,
25,172,391,36,,,,,,,,,,,
26,188,383,16,,,,,,,,,,,
27,190,354,2,,,,,,,,,,,
28,192,320,2,,,,,,,,,,,
29,193,292,1,,,,,,,,,,,
30,194,233,1,,,,,,,,,,,
31,194,260,0,,,,,,,,,,,
32,218,382,24,,,,,,,,,,,
33,219,354,1,,,,,,,,,,,
34,222,233,3,,,,,,,,,,,
35,223,323,1,,,,,,,,,,,
36,224,260,1,,,,,,,,,,,
37,224,290,0,,,,,,,,,,,
38,227,390,3,,,,,,,,,,,
39,233,210,6,,,,,,,,,,,
40,235,198,2,,,,,,,,,,,
41,251,352,16,,,,,,,,,,,
42,252,382,1,,,,,,,,,,,
43,254,292,2,,,,,,,,,,,
44,254,320,0,,,,,,,,,,,
45,255,233,1,,,,,,,,,,,
46,255,260,0,,,,,,,,,,,
47,281,382,26,,,,,,,,,,,
48,283,233,2,,,,,,,,,,,
49,283,262,0,,,,,,,,,,,
50,283,352,0,,,,,,,,,,,
51,284,290,1,,,,,,,,,,,
52,284,323,0,,,,,,,,,,,
53,304,200,20,,,,,,,,,,,
54,305,473,1,,,,,,,,,,,
55,307,210,2,,,,,,,,,,,
56,312,323,5,,,,,,,,,,,
57,313,262,1,,,,,,,,,,,
58,314,292,1,,,,,,,,,,,
59,314,353,0,,,,,,,,,,,
60,314,382,0,,,,,,,,,,,
61,315,234,1,,,,,,,,,,,
62,339,234,24,,,,,,,,,,,
63,339,260,0,,,,,,,,,,,
64,339,293,0,,,,,,,,,,,
65,339,320,0,,,,,,,,,,,
66,339,381,0,,,,,,,,,,,
67,340,354,1,,,,,,,,,,,
68,378,383,38,,,,,,,,,,,
69,380,214,2,,,,,,,,,,,
70,383,277,3,,,,,,,,,,,
71,433,466,50,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
0,7,213,-313,,,,,,,,,,,
1,13,378,6,,,,,,,,,,,
2,23,271,10,,,,,,,,,,,
3,36,271,13,,,,,,,,,,,
4,37,359,1,,,,,,,,,,,
5,40,283,3,,,,,,,,,,,
6,43,248,3,,,,,,,,,,,
7,53,283,10,,,,,,,,,,,
8,53,342,0,,,,,,,,,,,
9,58,237,5,,,,,,,,,,,
10,65,252,7,,,,,,,,,,,
11,78,257,13,,,,,,,,,,,
12,79,280,1,,,,,,,,,,,
13,89,251,10,,,,,,,,,,,
14,90,433,1,,,,,,,,,,,
15,105,263,15,,,,,,,,,,,
16,109,285,4,,,,,,,,,,,
17,112,474,3,,,,,,,,,,,
18,124,284,12,,,,,,,,,,,
19,129,389,5,,,,,,,,,,,
20,136,211,7,,,,,,,,,,,
21,172,391,36,,,,,,,,,,,
22,188,383,16,,,,,,,,,,,
